,IMO No,_id,上层建筑及甲板室,下次特检日期,主机型式*数量,主机建造厂,主机建造时间,主机缸数*缸径*功率*转速,净吨位,压载,发电机*功率*电压*数,各货舱容积,垂线间长,型宽,型深,干舷,平均吃水,总吨位,曾用名,甲板层数,管理公司,舱口数及舱口尺度,舱壁数,船东,船体入级符号,船体附加标志,船名(中文),船名(英文),船旗国,船籍港,船舶呼号,船舶建造厂,船舶建造地点,船舶建造时间,船舶总长,船舶登记号/船检号,船舶类型及用途,船速,货舱总容积,货舱数,"起货设备类型,安全负荷,数量",轮机入级符号,轮机附加标志,载重吨,重大改建情况,重大改建部位的建造日期,锅炉建造厂,锅炉建造时间,锅炉数*压力*受热面积,集装箱数*规格
529,,5db8497e5235e74d2c32dd12,Deckhouse:6,2022/12/19,16V2000M70*2;,MTU Friedrichshaften GmbH,2006/11/26,16*130*1050*2100,139,,75MDGDB-4487616D*75*400*1; 75MDGDB-5001598D*75*400*1;,,30.59,8.81,2.7,,1.05,438,,1; Upper deck,"Shenzhen Xunlong Shipping Co., Ltd.",,5; Fr.7/15/22/28/37,"Shenzhen Xunlong Shipping Co., Ltd.",★CSA,"Pearl River Area - Hongkong, Pearl River Area - Macao",迅隆4,XUN LONG 4,China,Shenzhen,BXYS,"Guangdong Hongshen Shipbuilding & Engineering Co.,Ltd.",China,2007/12/20,33,07A0173,Catamaran HSC/Passenger A,32,-,0,,★CSM,,24,,,,,,
530,9343883,5db8497f5235e74d2c32dd13,"Deckhouse:15.48,Forecastle:17.78",2022/9/27,7S50MC-C*1;,STX,2007/3/31,7*500*11060*127,"30,679",25425,GE45B-10*600*450*3;,"No. 1 Cargo Hold*(G13872.50)*(B13178.90)
;No. 2 Cargo Hold*(G16085.20)*(B15280.90)
;No. 3 Cargo Hold*(G16083.10)*(B15279.00)
;No. 4 Cargo Hold*(G16085.00)*(B15280.70)
;No. 5 Cargo Hold*(G16083.10)*(B15278.90)
;No. 6 Cargo Hold*(G16034.20)*(B15232.50)
;No. 7 Cargo Hold*(G14794.80)*(B14055.00)",221.6,36.92,20.5,5828,12.2,"50,177",PRIGIPOS,1; Upper Deck,MARMARAS NAVIGATION LTD.,6*17.20x17.60; 1*14.62x15.80,"8; Fr. Nos.40, 70, 100, 130, 160, 190, 220, 248",Prigipos Special Maritime Enterprise,★_CSA,"BC-A(Holds Nos. 2, 4 & 6 may be Empty);BWMP;CM;ESP;Grab*(20);In-Water Survey;Loading Computer (S, I, G, D);Strengthened for Heavy Cargoes",,PRIGIPOS,Greece,Piraeus,SZRF,"Sungdong Shipbuilding & Marine Engineering Co., Ltd. Tongyeong, Korea",Korea,2007/9/28,229.5,07A0196,Bulk Carrier,13.8,103585.90/109037.90 M3,7,"E/R Overhead Crane,3,1;Provision Crane,5,2",★_CSM_,AUT-0;SCM,"92,475",,,KANGRIM,,1*0.59*22/306 m2,
531,,5db849815235e74d2c32dd14,,,1012553101*1; 1012553102*1;,AB Volvo Penta,2006/8/20,,25,,0.8*12*220*1; 0.8*30*220*1;,,20.06,5.39,2.6,,,83,,,,,,海南蜈支洲旅游开发股份有限公司,★CSA,,海棠明珠,HAI TANG MING ZHU,China,,,湖南太阳鸟游艇制造有限公司,,2007/3/12,22.38,07A6245,Yacht,,-,0,,★CSM,,,,,,,,
532,9342774,5db849825235e74d2c32dd15,"Deckhouse:28,Forecastle:12.8",2022/3/31,6RT-flex50*1;,Dalian Marine Diesel Works,2006/10/16,6*500*9720*124,"15,326",21191,1FC6564-8SA83*975*450*3;,"No.1 C.O.T.(P)*(G3571.80)
;No.1 C.O.T.(S)*(G3571.80)
;No.2 C.O.T.(P)*(G4826.70)
;No.2 C.O.T.(S)*(G4826.70)
;No.3 C.O.T.(P)*(G4830.10)
;No.3 C.O.T.(S)*(G4830.10)
;No.4 C.O.T.(P)*(G4830.10)
;No.4 C.O.T.(S)*(G4830.10)
;No.5 C.O.T.(P)*(G4830.10)
;No.5 C.O.T.(S)*(G4830.10)
;No.6 C.O.T.(P)*(G4750.50)
;No.6 C.O.T.(S)*(G4750.50)",175,32.26,18.9,5615,11,"31,004",,1/upper deck,"COSCO Shipping Energy Transportation Co.,Ltd.",6*1.50x0.75; 6*0.75x1.5,10/Fr. 14、48、57、81、105、129、153、177、201、203,"COSCO SHIPPING Tanker (Shanghai) Co.,Ltd.",★CSA,"COMPASS (D,F);ESP;Emergency Towing Arrangements;F.P. ≤ 60℃;Ice Class B;Loading Computer (S, I, D)",瑞金潭,RUI JIN TAN,China,Shanghai,BPFU,"Guangzhou Shipyard International Co., Ltd.",China,2007/4/1,184,07B0036,"Oil Tanker, Double Hull",15.4,55278.60 M3,12,"Crane,15,1;Hoist,3,1;Hoist,4,1",★CSM,AUT-0;COW;IGS;PMS;SCM;VCS,"52,687",,,AALBORG INDUSTRIES LTD.(QINGDAO),,1*0.7*14/201 m2;1*1.7*174 m2,ho:1
533,9371907,5db849835235e74d2c32dd16,"Deckhouse:9.1,Forecastle:12.09,Poop:22.15",2022/5/20,8DKM-28*2;,"Shaanxi Diesel Heavy Industry Co.,Ltd. China",2006/8/1,8*280*2500*750,"2,309",3915,1FC6 354-4SA85*312*450*3;,"No.1 Cargo Hold*(G2241.10)*(B2241.10)
;No.2 Cargo Hold*(G4105.70)*(B4105.70)
;No.3 Cargo Hold*(G3175.80)*(B3175.80)",110,19.7,8.5,2072,6.4,"5,316",MCP BILBAO,"1, Upper deck",Beheermaatschappij M.S. MCP Bilbao B.V.,1*31.85X15.00; 1*25.35X15.00; 1*19.50X15.00,"6; Fr.9,30,71,122,156,163",LAMB SHIPPING INC.,★CSA,"Equipped with Container Securing Arrangement;Ice Class B;Loading Computer (S, I, G, D);Reg.19, SOLAS II-2;Strengthened for Heavy Cargoes",,MCP BILBAO,Liberia,Monrovia,D5NH8,"Shandong Huanghai Shipbuilding Co., Ltd.",China,2007/5/21,117,07B0059,General Dry Cargo Ship,13.8,9522.60/9522.60 M3,3,"Crane,40,2",★CSM,,"8,024",,,"SAACKE Qingdao Marine Boiler Co., Ltd. China",2006/8/1,1*0.7* m2,dk:429;ho:200
534,9344928,5db849855235e74d2c32dd17,"Deckhouse:28,Forecastle:12.8",2022/6/24,6RT-flex50*1;,"Dalian Marine Diesel Works, China",2007/2/7,6*500*9720*124,"15,326",21289,1FC6564-8SA83*975*450*3;,"No.1 C.O.T.(P)*(G3571.80)
;No.1 C.O.T.(S)*(G3571.80)
;No.2 C.O.T.(P)*(G4826.70)
;No.2 C.O.T.(S)*(G4826.70)
;No.3 C.O.T.(P)*(G4830.10)
;No.3 C.O.T.(S)*(G4830.10)
;No.4 C.O.T.(P)*(G4830.10)
;No.4 C.O.T.(S)*(G4830.10)
;No.5 C.O.T.(P)*(G4830.10)
;No.5 C.O.T.(S)*(G4830.10)
;No.6 C.O.T.(P)*(G4750.50)
;No.6 C.O.T.(S)*(G4750.50)",175,32.26,18.9,5615,11,"31,004",,1/upper deck,"COSCO Shipping Energy Transportation Co.,Ltd.",12*0.75X1.50,10/Fr.14、48、57、81、105、129、153、177、201、203,"COSCO SHIPPING Tanker (Shanghai) Co.,Ltd.",★CSA,"COMPASS (D,F);ESP;Emergency Towing Arrangements;F.P. ≤ 60℃;Ice Class B;Loading Computer (S, I, D)",黎平潭,LI PING TAN,China,Shanghai,BPFV,"Guangzhou Shipyard International Co., Ltd.",China,2007/6/25,184,07B0082,"Oil Tanker, Double Hull",,55278.60 M3,12,"Crane,15,1;Hoist,3,1;Hoist,4,1",★CSM,AUT-0;COW;IGS;PMS;VCS,"52,670",,,AALBORG INDUSTRIES LTD.(QINGDAO),,1*0.7*14/201 m2;1*1.7*174 m2,
535,9332016,5db849865235e74d2c32dd18,"Deckhouse:13.6,Forecastle:16.98",2022/2/27,MAN B&W 7S50MC-C*1;,"STX Engine. Co., Ltd.",2005/11/1,7*500*11060*127,"30,679",25425,FE 547B-10*600*450*3;,"No.1 Cargo Hold*(G13872.50)*(B13178.90)
;No.2 Cargo Hold*(G16085.20)*(B15280.90)
;No.3 Cargo Hold*(G16083.10)*(B15279.00)
;No.4 Cargo Hold*(G16085.00)*(B15280.70)
;No.5 Cargo Hold*(G16083.10)*(B15278.90)
;No.6 Cargo Hold*(G16034.20)*(B15232.50)
;No.7 Cargo Hold*(G14794.80)*(B14055.00)",221.6,36.92,20.5,5828,12.2,"49,973",KOUTALIANOS,"1,Upper Deck",MARMARAS NAVIGATION LTD.,6*17.20*17.60; 1*14.62*15.80,"8;Fr.40,70,100,130,160,190,220,248",EDIOLA SHIPPING LIMITED,★_CSA,"BC-A(Holds Nos. 2,4&6 may be Empty);BWMP;CM;ESP;Grab*(20);In-Water Survey;Loading Computer (S, I, G, D);Strengthened for Heavy Cargoes",,KOUTALIANOS,Liberia,Monrovia,A8WZ2,"Sungdong Shipbuilding & Marine Engineering Co., Ltd. Tongyeong, Korea",Korea,2007/2/28,229.5,07B0197,Bulk Carrier,20,103585.90/109037.90 M3,7,"Crane,3,1;Crane,5,2",★_CSM_,AUT-0;CMS;SCM,"92,710",,,"KANGRIM INDUSTRIES CO.,LTD",2006/2/14,1*0.59*22/306 m2,
536,8768660,5db849875235e74d2c32dd19,,2022/7/23,,,,,"2,995",,S637XUT-631E*1720*690*5;,"Drill water tank 15P
;Drill water tank 15S
;Drill water tank 5C
;Preload tank 14C
;Preload tank 16P
;Preload tank 16S
;Preload tank 17P
;Preload tank 17S
;Preload tank 18P
;Preload tank 18S
;Preload tank 19P
;Preload tank 19S
;Preload tank 20P
;Preload tank 20S
;Preload tank 2P
;Preload tank 2S
;Preload tank 3C
;Preload tank 4P
;Preload tank 4S
;Preload tank 6P
;Preload tank 6S
;Preload tank 9P
;Preload tank 9S
;Preload/Drill water Tk 12P
;Preload/Drill water Tk 12S
;Preload/Drill water Tk 19C
;Preload/Drill water Tk 1P
;Preload/Drill water Tk 1S
;Spudcan.C
;Spudcan.P
;Spudcan.S",72.1,68.4,8.5,1872,5.94,"9,985",WILSUPERIOR,,China Oilfield Services Limited,31*,,COSL Drilling Strike Pte Ltd.,★_CSA,HELDK;Drilling Unit,,COSLSUPERIOR,Mongolia,Ulaanbaatar,JVEB5,PPL Shipyard Pte Ltd.,Singapore,2007/7/24,100.79,07B5602,Self-elevating,,-,31,"Crane,22,1;Crane,40,1;Crane,50,1",,,,,,,,,
537,,5db849885235e74d2c32dd1a,Deckhouse:15.6,2023/10/4,,,,,447,,HCM534E1*440*400*2; UCM274C13*65*400*1;,,47.8,23,3.8,1710,2.1,"1,492",,"1,Upper Deck","China Communications 2nd Navigational Bureau 3rd Engineering Co.,Ltd.",,"4,Fr.Nos.10,35,54,77","China Communications 2nd Navigational Bureau 3rd Engineering Co.,Ltd.",★CSA,R2 for Operation and R1 for Transiting,金祥3号,JIN XIANG 3 HAO,China,Zhenjiang,,"Zhenjiang Dantu Xinxing Shipbuilding Co.,Ltd.",China,2007/3/16,49.8,07B6039,Pile Driving Barge,,-,0,,,,775,,,,,,
538,9416355,5db8498a5235e74d2c32dd1b,"Deckhouse:13.2,Forecastle:11.85,Poop:17.4",2021/12/3,6320ZCd-6*1;,Guangzhou Diesel Enigine Factory,2006/12/1,6*320*1545*525,"1,472",993,MP-H-120-4*120*400*2;,"No.1 cargo hold*(G2480.51)
;No.2 cargo hold*(G2602.55)",77.7,14.2,7.6,1614,6,"2,612",,"1,upper deck",Ningbo Haizhou Logistics Co. Ltd.,2*21560x9000,"5,FR8,27,73,118,125",Ningbo Haizhou Logistics Co. Ltd.,★CSA,,新海洲 8,XIN HAI ZHOU 8,China,Ningbo,BLBI,Taizhou Haibin Shipyard,China,2007/1/4,84.8,07C0014,General Dry Cargo Ship,11,5083.06 M3,2,,★CSM,,"4,071",,,"Zhangjiagang Greens-shazhou Boiler Co.,Ltd.",,1** m2,ho:1
539,9435296,5db8498b5235e74d2c32dd1c,Deckhouse:16.8,2022/8/1,6S60MCC*1;,HUDONG Heavy Machinery Company Limited,2006/12/31,6*600*13560*105,"31,117",40286,GE45B-8*740*450*3;,"No.1C.O.TK(P)*(G7531.20)
;No.1C.O.TK(S)*(G7531.20)
;No.2C.O.TK(P)*(G10148.80)
;No.2C.O.TK(S)*(G10148.80)
;No.3C.O.TK(P)*(G10168.80)
;No.3C.O.TK(S)*(G10168.80)
;No.4C.O.TK(P)*(G10168.80)
;No.4C.O.TK(S)*(G10168.80)
;No.5C.O.TK(P)*(G10168.80)
;No.5C.O.TK(S)*(G10168.80)
;No.6C.O.TK(P)*(G9801.50)
;No.6C.O.TK(S)*(G9801.50)",233,42,21.4,6616,13.5,"58,416",,"1,upper deck","Shanghai North Sea Shipping Co., Ltd.",11*0.87x0.67  OVAL1.20x0.70; 1*0.87x0.67  OVAL 1.20x0.70,"10; Fr.Nos.12-14,43-47,53,55,62,69,76,83,90,97","Shanghai North Sea Shipping Co., Ltd.",★CSA,"COMPASS (D,F);ESP;F.P. ≤ 60℃;In-Water Survey;Loading Computer (S, I, D);Single Point Mooring",北海威望,BEI HAI WEI WANG,China,Shanghai,BPCI,"Shanghai Waigaoqiao Shipbuilding Co., Ltd.",China,2007/8/2,243.8,07C0037,"Oil Tanker, Double Hull",15,115975.80 M3,12,"Crane,1,1;Crane,2,1;Crane,5,1;Elevator,0.5,1;Provision Crane,3,1;Crane,15,2",★CSM,AUT-0;COW;IGS;PMS;VCS,"104,405",,,Aalborg Industries Ltd(Qingdao),,1*1.6*/61.4 m2;2*1.6*143 m2,
540,9447940,5db8498c5235e74d2c32dd1d,"Deckhouse:9,Forecastle:10086",2021/8/18,KTA19-M3*2;,Chongqing Cummins Engine Company Ltd.,2007/4/4,6*159*407.00*1744.00,205,101,UCM274D13*75*415*2;,"No.1 C.O.T.(P)*(G62.18)
;No.1 C.O.T.(S)*(G62.18)
;No.2 C.O.T.(P)*(G61.00)
;No.2 C.O.T.(S)*(G61.00)
;No.3 C.O.T.(P)*(G128.51)
;No.3 C.O.T.(S)*(G128.51)
;No.4 C.O.T.(P)*(G107.52)
;No.4 C.O.T.(S)*(G107.52)
;No.5 C.O.T.(P)*(G64.49)
;No.5 C.O.T.(S)*(G64.49)",40.07,10.8,4,1124,2.88,499,,1; Upper deck,United Maritime Pte Ltd,10*￠0.8,"9; Fr. Nos.5,23,27,33,43,55,61,68,75",Sino Tankers Pte. Ltd.,★CSA,30-miles Limit Voyage or Plying within the Port(Singapore);ESP;F.P. ＞ 60℃,,VALIANT,Singapore,Singapore,9V7173,"Ocean Leader Shipbuilding Co., Ltd.",China,2007/8/10,42.46,07C0106,Oil Tanker,9,847.40 M3,10,,★CSM,,597,,,,,,ho:1
541,9343895,5db8498d5235e74d2c32dd1e,"Deckhouse:13.6,Forecastle:16.98",2022/11/22,STX-MAN B&W 7S50MC-C*1;,"STX Engine Co., Ltd.",2007/4/6,7*500*11060*127,"30,679",25425,FE 547B-10*600*450*3;,"No.1 Cargo Hold*(G13872.50)*(B13178.90)
;No.2 Cargo Hold*(G16085.20)*(B15280.90)
;No.3 Cargo Hold*(G16083.10)*(B15279.00)
;No.4 Cargo Hold*(G16085.00)*(B15280.70)
;No.5 Cargo Hold*(G16083.10)*(B15278.90)
;No.6 Cargo Hold*(G16034.20)*(B15232.50)
;No.7 Cargo Hold*(G14794.80)*(B14055.00)",221.6,36.92,20.5,5828,12.2,"49,973",ARIS T,"1,Upper Deck",MARMARAS NAVIGATION LTD.,6*17.20*17.60; 1*14.62*15.80,"8;Fr.40,70,100,130,160,190,220,248",ARIS T SPECIAL MARITIME ENTERPRISE,★_CSA,"BC-A(Holds Nos. 2,4&6 may be Empty);BWMP;CM;ESP;Grab*(20);In-Water Survey;Loading Computer (S, I, G, D);Strengthened for Heavy Cargoes",,ARIS T,Greece,Piraeus,SVHY,"Sungdong Shipbuilding & Marine Engineering Co., Ltd. Tongyeong, Korea",Korea,2007/11/23,229.5,07C0198,Bulk Carrier,20,103585.90/109037.90 M3,7,"Crane,3,1;Crane,5,2",★_CSM_,AUT-0;SCM,"92,524",,,"KANGRIM INDUSTRIES CO.,LTD.",,1*0.6*22/306 m2,
542,9352054,5db8498f5235e74d2c32dd1f,"Deckhouse:14.6,Forecastle:11.6,Poop:30.8",2022/2/14,MAN B&W 6S35MC-MK7*1;,"STX Engine Co., Ltd.",2006/9/28,6*350*4440*173,"4,095",5277,Brushless Excitation*480*440*3;,"NO.1 C.O.T.(P)*(G948.26)
;NO.1 C.O.T.(S)*(G949.02)
;NO.2 C.O.T.(P)*(G1123.62)
;NO.2 C.O.T.(S)*(G1123.89)
;NO.3 C.O.T.(P)*(G1232.46)
;NO.3 C.O.T.(S)*(G1231.55)
;NO.4 C.O.T.(P)*(G1207.62)
;NO.4 C.O.T.(S)*(G1207.89)
;NO.5 C.O.T.(P)*(G1231.99)
;NO.5 C.O.T.(S)*(G1232.64)
;NO.6 C.O.T.(P)*(G1070.85)
;NO.6 C.O.T.(S)*(G1070.76)",120.4,20.4,11.5,2812,,"8,562",SC SHANGHAI,1&upper deck,"Sinochem Shipping Co., Ltd. (Shanghai)",12*0.82dia,"12&10,36,40,45,63,82,101,120,138,159,161,166","SC LAUREN SHIPPING CO.,LIMITED",★_CSA,"ESP;F.P. ≤ 60℃;In-Water Survey;Loading Computer (S, I, D);Max. Cargo Density  1450 kg/m3;Type 2",,SC SHANGHAI,"Hong Kong, China",Hong Kong,VRJF5,"21ST Century Shipbuilding Co.,Ltd.",Korea,2007/2/15,128.6,07C6040,"Chemical/Oil Tanker, Double Hull",13.4,13630.55 M3,12,"Crane,10,1;Crane,2.1,1;Hoist,3.0,1",★_CSM_,AUT-0;PMS,"13,083",,,"Aalborg Industries Ltd., Qingdao",2006-08-21; 2006-09-26,1*0.7* m2;1*0.7*78 m2,
543,9424077,5db849905235e74d2c32dd20,"Forecastle:10.5,Poop:24.5",2021/6/16,G8300ZC18B*1;,"Ningbo C.S.I. Power & Machinery Group Co., Ltd.",2006/7/1,8*300*1765*550,"1,024",1412,MP-H-100-4*100*400*1; TFX-280L4-H*120*400*2;,"NO.1 Liquid Cargo Tank P*(G263.38)
;NO.1 Liquid Cargo Tank S*(G263.38)
;NO.2 Liquid Cargo Tank P*(G271.28)
;NO.2 Liquid Cargo Tank S*(G271.28)
;NO.3 Liquid Cargo Tank P*(G353.64)
;NO.3 Liquid Cargo Tank S*(G353.64)
;NO.4 Liquid Cargo Tank P*(G357.27)
;NO.4 Liquid Cargo Tank S*(G357.27)
;NO.5 Liquid Cargo Tank P*(G351.92)
;NO.5 Liquid Cargo Tank S*(G351.92)
;NO.6 Liquid Cargo Tank P*(G311.19)
;NO.6 Liquid Cargo Tank S*(G311.19)",84.3,13.5,6.5,1510,5,"2,252",,1;   upper deck,"Shanghai Dingheng Shipping Co.,Ltd.",12*Φ0.8,"13
Fr.Nos.3,8,30,36,51,67,83,99,111,123,127,129,134","SHANGHAI WANFANG FINANCIAL LEASING CO.,LTD",★CSA,"ESP;Loading Computer (S, I, D);Type 2",鼎衡17,DING HENG 17,China,Shanghai,BIOY,"Zhejiang Dongpeng Ship Building & Repairing Co., Ltd.",China,2007/1/12,91.03,07D0015,Chemical Tanker,11.5,3817.36 M3,12,,★CSM,,"3,175",,,"Wuxi Weilit Marine Boiler Co., Ltd.",,1*0.7*/67 m2;1*0.7*78.5 m2,ho:1
544,- - -,5db849915235e74d2c32dd21,,2022/5/21,,,,,564,,ARCB 684*500*600*3;,"hot seawater tank
;industry fresh water tank
;mud tank
;sea-water tank
;water ballst tank1
;water ballst tank10
;water ballst tank11
;water ballst tank12
;water ballst tank2
;water ballst tank3
;water ballst tank4
;water ballst tank5
;water ballst tank6
;water ballst tank7
;water ballst tank8
;water ballst tank9
;well sewage tank 1
;well sewage tank2
;well-washed liquid &mud tank
;well-washed liquid tank",37,41,4.26,1538,2.73,"1,880",,,Sinopec Oilfield Service Shengli Corporation Welldownhole Service Company,20*,,Sinopec Oilfield Service Shengli Corporation,★ CSA,Workover Unit,胜利作业四号,SHENG LI ZUO YE SI HAO,China,Dongying,BCCL,"Shanhaiguan Shipbuilding Industry Co., Ltd.",,2007/5/22,45,07D0038,Self-elevating,,-,20,"Crane,10,1;Crane,15,1",,,,The breadth was increased; The leg length increased; The spudcan dimensions were reduced.,2012/8/1,"Jiujiang Layton Boiler Co.,Ltd",,1*0.690*18.40 m2,
545,9367061,5db849935235e74d2c32dd22,"Deckhouse:22,Forecastle:42.6",2022/5/25,WARTSILA 12VZA40S*2;,Wartsila Italia S.p.A,2006/7/10,12*400*9000*510,"4,548",1448,1FJ3804-6 SD22*3040*690*2; AVK DSG74-L1-4W*950*400*1; HCM634K2*730*400*1;,Hopper tank*(G13570.00),141.6,27,11,3011,8,"15,163",,1; Upper deck,"CHEC Dredging Co.,Ltd.",1*,"7
6,50,64,111,146,174,189","CHEC Dredging Co.,Ltd.",★CSA,Dredging within R2,新海虎,XIN HAI HU,China,Shanghai,BQDH,"Guangzhou Wenchong Shipyard Co., Ltd.",China,2007/5/26,150.7,07D0061,Trailing Suction Hopper Dredger,15.5,13570.00 M3,1,"Crane,2,1;Crane,22.5,1;Crane,30,1",★CSM,BRC,"15,921",,,Aalborg Industrics A/S; Aalborg Industries NL B.V.,2006-03-08; 2006-03-23,2*1* m2;1*1.3* m2,
546,9342073,5db849945235e74d2c32dd23,"Deckhouse:26,Forecastle:15.42",2022/7/18,DMD-MAN B&W 6S50MC*1;,Dalian Marine Diesel Works,2007/1/12,6*500*8580*127,"11,381",19566,HFJ6 504-14K*664*450*3;,"No.1 C.O.T. (P&S)
;No.2 C.O.T. (P&S)
;No.3 C.O.T. (P&S)
;No.4 C.O.T. (P&S)
;No.5 C.O.T. (P&S)
;No.6 C.O.T. (P&S)",178,31.5,16.8,5516,10.5,"26,992",,"1,Upper deck","COSCO Shipping Energy Transportation Co.,Ltd.",6*1.50X0.75,"9,Fr.Nos.48,59,81,108,135,162,189,214","COSCO SHIPPING Tanker (Shanghai) Co.,Ltd.",★CSA,"ESP;F．P. ≤ 60℃;Ice Class B;Loading Computer (S, I, D)",百池,BAI CHI,China,Shanghai,BPGA,"Guangzhou Shipyard International Co., Ltd.",China,2007/7/19,187.8,07D0084,"Oil Tanker, Double Hull",,-,6,"Crane,15,1;Crane,3,2",★CSM,AUT-0;IGS;PMS;VCS,"41,983",,,AALBORG INDUSTRIES LTD. (Qingdao),,1*0.7*20/139 m2;1*1.6*337 m2,
547,- - -,5db849955235e74d2c32dd24,,2022/9/11,,,,,"1,415",,ARCB 828*1500*600*4; SR 4B*630*600*1;,"S.W. Ballast Tank 1
;S.W. Ballast Tank 10
;S.W. Ballast Tank 11
;S.W. Ballast Tank 12
;S.W. Ballast Tank 13
;S.W. Ballast Tank 14
;S.W. Ballast Tank 15
;S.W. Ballast Tank 16
;S.W. Ballast Tank 17
;S.W. Ballast Tank 2
;S.W. Ballast Tank 3
;S.W. Ballast Tank 4
;S.W. Ballast Tank 5/Drilling Water Tank

;S.W. Ballast Tank 6/Drilling Water Tank

;S.W. Ballast Tank 7
;S.W. Ballast Tank 8
;S.W. Ballast Tank 9
;Sea Water Tank",54,49,5.2,1750,3.45,"4,718",,,CNPC Offshore Engineering Company Litimited drilling division,18*,,CNPC Offshore Engineering Company Limited,★ CSA,Drilling Unit;HELDK,中油海5,ZHONG YOU HAI 5,China,,BFFB,"Qingdao Beihai Shipbuilding Heavy Industry Co., Ltd",,2007/8/10,54,07D0107,Self-elevating,,-,18,"Crane,35,2",,,,,,,,1*0.69* m2,
548,9337913,5db849965235e74d2c32dd25,"Deckhouse:13.6,Forecastle:24.5",2022/11/10,12K98MC-C*1;,"Mitsui Engine &S. B. Co., Ltd. Tamano Works, Japan",2007/7/26,12*980*68520*104,"57,364",23689,DIG156K/10W*2760*6600*4;,"No.1 Cargo Hold (A)*(B140.00)
;No.1 Cargo Hold (F)*(B99.00)
;No.2 Cargo Hold (A)*(B220.00)
;No.2 Cargo Hold (F)*(B186.00)
;No.3 Cargo Hold (A)*(B256.00)
;No.3 Cargo Hold (F)*(B242.00)
;No.4 Cargo Hold (A)*(B266.00)
;No.4 Cargo Hold (F)*(B264.00)
;No.5 Cargo Hold (A)*(B266.00)
;No.5 Cargo Hold (F)*(B266.00)
;No.6 Cargo Hold (A)*(B266.00)
;No.6 Cargo Hold (F)*(B266.00)
;No.7 Cargo Hold (A)*(B256.00)
;No.7 Cargo Hold (F)*(B264.00)
;No.8 Cargo Hold (A)*(B172.00)
;No.8 Cargo Hold (F)*(B128.00)
;No.9 Cargo Hold (A)*(B124.00)
;No.9 Cargo Hold (F)*(B150.00)",320.06,42.8,24.8,10218,13,"90,757",,"2;Upper Deck, 2nd Deck","COSCO SHIPPING Development Co.,Ltd.",16*12.60x38.40; 1*12.60x32.2; 1*12.60x28.17,"12; Fr.Nos.13, 47, 75, 107, 143, 179, 215, 251, 287, 323, 359, 379","COSCO SHIPPING Development Co.,Ltd.",★CSA,"COMPASS (D);Ice Class B;In-Water Survey;Loading Computer (S, I)",新欧洲,XIN OU ZHOU,China,Shanghai,BPKB,"Hudong-Zhonghua Shipbuilding (Group) Co., Ltd.",China,2007/11/11,335,07D0130,Container Ship,25,3831.00 M3,18,"Elevator,0.5,1;Crane,12.5,2",★CSM,AUT-0;PMS;SCM,"102,461",,,"Zhangjiagang Greens-shazhou Boiler Co., Ltd.",,1*0.7*/560 m2;1*0.7*110 m2,dk:4661;ho:3874
549,9343871,5db849985235e74d2c32dd26,"Deckhouse:13.6,Forecastle:16.98",2022/8/20,MAN B&W 7S50MC-C*1;,"STX Engine. Co., Ltd.",2006/12/18,7*500*11060*127,"30,679",25425,FE 547B-10*600*450*3;,"No.1 Cargo Hold*(G13872.50)*(B13178.90)
;No.2 Cargo Hold*(G16085.20)*(B15280.90)
;No.3 Cargo Hold*(G16083.10)*(B15279.00)
;No.4 Cargo Hold*(G16085.00)*(B15280.70)
;No.5 Cargo Hold*(G16083.10)*(B15278.90)
;No.6 Cargo Hold*(G16034.20)*(B15232.50)
;No.7 Cargo Hold*(G14794.80)*(B14055.00)",221.6,36.92,20.5,5828,12.2,"49,973",LOXANDRA,"1,Upper Deck",MARMARAS NAVIGATION LTD.,6*17.20*17.60; 1*14.62*15.80,"8;Fr.40,70,100,130,160,190,220,248",SEA STAR MARINE LIMITED,★_CSA,"BC-A(Holds Nos. 2,4&6 may be Empty);BWMP;CM;ESP;Grab*(20);In-Water Survey;Loading Computer (S, I, G, D);Strengthened for Heavy Cargoes",,LOXANDRA,Liberia,Monrovia,A8NV2,"Sungdong Shipbuilding & Marine Engineering Co., Ltd. Tongyeong, Korea",Korea,2007/8/21,229.5,07D0199,Bulk Carrier,13.8,103585.90/109037.90 M3,7,"Crane,3,1;Crane,5,2",★_CSM_,AUT-0;SCM,"92,576",,,"Kang Rim Ind. Co., Ltd.",,1*0.59*22/306 m2,
550,,5db84b3f5235e72138c4032e,,,535105962*1; 535105963*1;,"MTU Friedrichshafen Gmbh, Germany",2007/7/26,,24,,*27*220*1;,,16.65,5.5,2.94,1490,,81,,,,,,鸿洲国际游艇会有限公司,★_CSA,,时代海岸鸿洲1,SHI DAI HAI AN HONG ZHOU 1,China,,,"Pershing S.P.A., Italy",,2007/5/14,21.67,07D6248,Yacht,,-,0,,★_CSM_,,,,,,,,
