,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
1564,,94H6020,,5db853fc5235e74d289af754,重大改建入级,2890,青岛船用锅炉厂有限公司;青岛船用锅炉厂有限公司,04-6月 -11 03.00.00.000000 下午;04-6月 -11 03.00.00.000000 下午,30;30,2.7,BUGU,80,14.4,柴油机;柴油机,3.9,,5162,2009/6/16,1;1,,机动,1205,1205,1205,,1205,7,河船,2,250;250,6;6,A级,,A级航区、J2级航段;滚装货船,长航江兴,1994N0000616,武汉,★CSAD,长江轮船总公司青山船厂，武汉,1994/4/20,国内航行入级船舶,89.5,长航武汉汽车物流有限公司,滚装船,长航武汉汽车物流有限公司,300;300,.6;.6,,★CSMD,,,,,882;882,750;750
1565,,,,5db853fd5235e74d289af755,,,,,,,,161.6,,,,,14191,,,,机动,,,,,,,海船,,,,近海,,B级冰区航行;装载仪(S、I);近海航区;集装箱船,JC-054,3000C0002599,厦门,★CSAD,浙江金川船业有限公司,,国内航行入级船舶,166.23,厦门泰晟轮船有限公司,集装箱船,厦门泰晟轮船有限公司,,,,★CSMD,驾驶室遥控,,,21000,,
1566,,15R6392,,5db853fd5235e74d289af756,建造入级,247,,18-7月 -15 03.00.00.000000 下午;26-8月 -15 03.00.00.000000 下午,,2.1,,40.6,9.6,柴油机;柴油机,3.3,958,494,,,,机动,,,,,,6,海船,1,170;170,6;6,沿海,12,客船;沿海航区,金庸2,2015M0001425,舟山,★CSAD,浙江凯灵船厂（舟山四八零六工厂）,2015/12/21,国内航行入级船舶,45.36,舟山市普陀环岛客运有限公司,普通客船,舟山市普陀环岛客运有限公司,200;200,,,★CSMD,,,,89,330;330,1000;1000
1567,,11Q6256,,5db853fe5235e74d289af757,保持船级,1991,无锡威力特船用锅炉有限公司,11-8月 -10 03.00.00.000000 下午;11-8月 -10 03.00.00.000000 下午,50,4.8,,95,17.2,柴油机;柴油机,6,,3555,,1,,机动,1212,1212,1212,,1212,13,河船,,210;210,6;6,A级,18,A级航区、J2级航段;化学品液货船（2型，2G）/双壳油船（闪点≤60℃）;最大压力0.02MPa;最大货物密度1022kg/m3;最高货物温度50℃,宏声36,2011G0000809,涪陵,★CSAD,重庆市平台船舶制造有限公司,2011/9/21,国内航行入级船舶,100,重庆国兴融资租赁有限公司,化学品液货船,重庆三益物流股份有限公司,290;290,0.8,18,★CSMD,驾驶室遥控,,,4524,551;551,750;750
1568,,07Q6236,,5db853fe5235e74d289af758,,1055,无锡威力特燃烧设备有限公司;无锡威力特燃烧设备有限公司,11-3月 -06 03.00.00.000000 下午,40.6;55,5,BICJ6,74.5,13.2,柴油机,6,1009,1884,,1;1,中港化运2,机动,,,,,,12,海船,1,320,6,近海,12,化学品液货船2型;近海航区,恒州003,2007J0000476,上海,★CSAD,繁昌新港船舶制造有限公司,2007/5/31,国内航行入级船舶,79.45,上海恒州海运有限公司,化学品液货船,上海恒州海运有限公司,440,.8;.8,10,★CSMD,,,,2786,1545,525
1569,,14S6227,,5db853ff5235e74d289af759,保持船级,1266,,25-3月 -11 03.00.00.000000 下午;25-3月 -11 03.00.00.000000 下午,,4,,84.2,15,柴油机;柴油机,4.8,,2261,,,,机动,810,810,810,,810,11,河船,,170;170,8;8,A级,12,A级航区、J2级航段;双壳油船（闪点≤60℃）,巨丰9,2014J0000700,扬州,★_CSAD,广陵区新蓝造船厂,2014/9/26,国内航行入级船舶,88,扬州龙川运输有限公司,油船（闪点≤60℃）,扬州龙川运输有限公司,200;200,,12,★CSMD,驾驶室遥控,,,3563,480;480,1200;1200
1570,,12V6013,,5db853ff5235e74d289af75a,保持船级,127,,10-7月 -10 03.00.00.000000 下午;10-7月 -10 03.00.00.000000 下午,,3.3,BRYE,31.06,10.5,柴油机;柴油机,4.6,857,425,,,东舟远1,机动,,,,,,4,海船,1,250;250,8;8,近海,,B级冰区航行;拖船;近海航区,保丰拖1,2012D0000033,阳江,★CSAD,福建省易和船舶重工有限责任公司,2012/1/6,国内航行入级船舶,36.6,阳江市保丰码头有限公司,普通拖船,阳江市保丰码头有限公司,320;320,,,★CSMD,,,,,1765;1765,825;825
1571,,05H1021,,5db854005235e74d289af75b,保持船级,5015,---;---,30-7月 -04 12.00.00.000000 上午;30-7月 -04 12.00.00.000000 上午,,2.7,,118,17.2,柴油机;柴油机,4.2,,8359,,,,机动,1506,1506,1506,1506,1506,10,河船,1,,,A级,14,A级航区、J1级航段;客船,世纪天子,2005V0000009,重庆,★CSAD,重庆东风船舶工业公司,2005/1/31,国内航行入级船舶,126.8,重庆冠达世纪游轮有限公司,长江涉外旅游客船,重庆冠达世纪游轮有限公司,,,,★CSMD,,,,,1250;1250,750;750
1572,,11M6115,,5db854015235e74d289af75c,保持船级,1677,无锡威力特船用锅炉有限公司,11-9月 -10 03.00.00.000000 下午,,5.81,BKSR5,89.8,15.2,四冲程柴油机,6.8,1000,2995,,1,,机动,,,,,,9,海船,1,320,6,近海,11,"B级冰区航行;双壳油船,闪点≤60℃;近海航区",海翔5,2011L0000399,舟山,★CSAD,宁波市东方船舶修造有限公司,2011/6/8,国内航行入级船舶,96.09,舟山海翔船务有限责任公司,油船（闪点≤60℃）,舟山海翔船务有限责任公司,380,1.1,10,★CSMD,,,,4997,735,600
1573,,06P6138,,5db854015235e74d289af75d,保持船级,2323,,01-12月-05 03.00.00.000000 下午;01-12月-05 03.00.00.000000 下午;01-12月-05 03.00.00.000000 下午,,2.2,,105,19.2,柴油机;柴油机;柴油机,4.2,,4468,,,,机动,2012,2012,2012,,2012,7,河船,1,170;170;170,8;8;8,A级,10.4,A级航区、J2级航段;II型客滚船,长江重件1号,2006A0000229,宜昌,★CSAD,中国葛洲坝集团机械船舶有限公司,2006/7/6,国内航行入级船舶,108,中国长江电力股份有限公司,客滚船（Ⅱ型）,长江三峡水电工程有限公司,200;200;200,,,★CSMD,,,,,440;440;440,1200;1200;1200
1574,,13Y6182,,5db854025235e74d289af75e,,266,,30-11月-12 12.00.00.000000 上午;30-11月-12 12.00.00.000000 上午,,2.05,BSAG,39.88,9.8,柴油机(左）;柴油机（右）,2.8,560,494,,,320客位车客渡船,机动,,,,,,6,海船,1,170;170,8;8,沿海,11,应急响应服务;沿海航区;渡船,财神岛3,2013L0000302,大连,★CSAD,大连东远造船有限公司,2013/5/9,国内航行入级船舶,46.64,大连财神岛海运有限公司,客滚船,大连财神岛海运有限公司,200;200,,,★CSMD,,,,,350;350,1000;1000
1575,,16W6195,,5db854025235e74d289af75f,保持船级,5569,,25-1月 -16 03.00.00.000000 下午;25-1月 -16 03.00.00.000000 下午,,2.95,,103.8,17.16,柴油机;柴油机,5,,9283,,,,机动,2057,2057,2057,,2057,10,河船,,230;230,6;6,A级,13,A级航区;J2级航段;滚装货船,华嘉2号,2016X0000754,江津,★CSAD,重庆中江船业有限公司,2016/8/23,国内航行入级船舶,110,重庆华阳嘉川船务有限公司,滚装船,重庆华阳嘉川船务有限公司,300;300,,1,★CSMD,机舱自动化-2,,,1293,810;810,750;750
1576,,12C6134,,5db854035235e74d289af760,保持船级,121,,30-10月-11 03.00.00.000000 下午;30-10月-11 03.00.00.000000 下午,,3.535,BWZO,31.89,10.2,柴油机;柴油机,4.5,275,404,,,甬港众联11,机动,,,,,,4,海船,1,260;260,6;6,沿海,13.3,拖船;沿海航区,北部湾拖3,2012N0000387,防城港,★CSAD,江苏省镇江船厂（集团）有限公司,2012/4/23,国内航行入级船舶,34,北部湾拖船（防城港）有限公司,普通拖船,北部湾拖船（防城港）有限公司,385;385,,,★CSMD,,,,,1471;1471,750;750
1577,,11W6193,,5db854035235e74d289af761,,279,九江海天设备制造有限公司莱顿锅炉分,08-9月 -10 12.00.00.000000 上午;11-9月 -10 12.00.00.000000 上午,34,2.75,,47.8,9.6,右柴油机;左柴油机,3.4,,497,2017/1/25,1,中长燃500T供油轮,机动,658,658,,,,7,河船,1,,6;6,A级,9.5,A、B级航区;油船 闪点>60℃,长燃56,2011T0000636,南京,★CSAD,芜湖大江造船有限公司,2011/7/20,国内航行入级船舶,49.8,中石化长江燃料有限公司,油船（闪点>60℃）,中石化长江燃料有限公司,225;225,2.5,6,★CSMD,,,,,202;202,1000;1000
1578,,06R6048,,5db854045235e74d289af762,保持船级,128,,18-12月-04 03.00.00.000000 下午;18-12月-04 03.00.00.000000 下午,,3.3,,31.5,9.8,柴油机;柴油机,4.5,1210,429,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,13.4,拖船;沿海航区,东华2号,2006P0000058,上海,★CSAD,九江同方江新造船有限公司,2006/4/26,国内航行入级船舶,36,沪东中华造船（集团）有限公司,普通拖船,沪东中华造船（集团）有限公司,360;360,,,★CSMD,,,,,1471;1471,750;750
1579,,12F6459,,5db854045235e74d289af763,建造入级,184,,19-12月-11 12.00.00.000000 上午,,3.25,,43,7.5,四冲程直列增压柴油机,4,758,330,,,,机动,,,,,,9,海船,1,170,6,沿海,,回收闪点高于60℃浮油的浮油回收船;沿海航区,聚丰2016,2012W0001177,厦门,★CSAD,东莞市南祥造船有限公司,2012/11/19,国内航行入级船舶,46.88,厦门聚丰鸿亿船舶有限公司,溢油(污油)回收船,厦门聚丰鸿亿船舶有限公司,200,,6,★CSMD,,,,558,426,1350
1580,,16Y6105,,5db854055235e74d289af764,建造入级,1419,青岛船用锅炉厂有限公司;青岛船用锅炉厂有限公司,14-6月 -15 03.00.00.000000 下午,,,,86.7,13.8,柴油机,6.5,1529,2535,,,,机动,,,,,,,海船,,320,6,近海,,B级冰区航行;加强检验程序;化学品液货船;2型;近海航区,卓远56,2016T0000083,舟山,★CSAD,舟山市招宝船舶修造有限公司,2016/1/6,国内航行入级船舶,,,化学品液货船,,440,.78;.78,,★CSMD,,,,3298,735,365
1581,,12M6511,,5db854055235e74d289af765,,1407,,01-10月-12 12.00.00.000000 上午;01-10月-12 12.00.00.000000 上午,,5,,88.9,14.8,柴油机;柴油机,5.8,,2512,,,,机动,814,614,614,,1214,11,河船,,170;170,8;8,A级,,A级航区、J2级航段;双壳散货船,新长江25062,2012Y0001340,武汉,★CSAD,扬州松川船舶制造有限公司,2012/12/27,国内航行入级船舶,92,长航货运有限公司,散货船,长航货运有限公司,200;200,,1,★CSMD,,,,4846,600;600,1500;1500
1582,,18M6219,,5db854065235e74d289af766,建造入级,1,,15-6月 -18 12.00.00.000000 上午;15-7月 -18 12.00.00.000000 上午,,0.481,,7.05,2.82,柴油机;柴油机,1.58,,6,,,,机动,,,,,,5,海船,1,,,平静水域营运限制,40,小型货船;平静水域营运限制;高速船,北游308,2018E0000617,北海,★CSAD,欧伦（大连）船业有限公司,2018/10/12,国内航行入级船舶,7.76,北海市麒源达旅游开发有限公司,小艇,北海市麒源达旅游开发有限公司,,,,,,,,,211;211,3682;3682
1583,,04D6003,,5db854065235e74d289af767,,3388,,05-7月 -04 03.00.00.000000 下午;17-6月 -04 03.00.00.000000 下午,,4.5,,90,19.8,柴油机;柴油机,6.5,1514,6516,,,,机动,,,,,,12,海船,2,320;320,8;8,沿海,,客滚船;沿海航区,信海12号,2004V0000414,海口,★CSAD,重庆东风船舶工业公司,2004/12/31,国内航行入级船舶,98,海南海峡航运股份有限公司,客滚船,海南海峡航运股份有限公司,440;440,,1,★CSMD,,,,,2060;2060,525;525
1584,,09X6069,,5db854075235e74d289af768,保持船级,1897,青岛船用锅炉厂有限公司,07-12月-08 03.00.00.000000 下午;07-12月-08 03.00.00.000000 下午,9.7,5.586,,94.41,17,柴油机;柴油机,6.4,,3389,,1,荣江15069,机动,830,830,,,,8,河船,1,210;210,6;6,A级,,A级航区;双壳矿石船/双壳散货船,苏连云港货1637,2.01E+194,连云港,★CSAD,重庆市涪陵区大为船舶制造有限公司,2009/5/20,国内航行入级船舶,100.08,祁洪波,散货船,连云港金旭船务有限公司,290;290,0.9,1,★CSMD,,,,6200,662;662,750;750
1585,,02K6022,,5db854085235e74d289af769,初次入级,1420,,05-6月 -02 12.00.00.000000 上午;11-6月 -02 12.00.00.000000 上午;11-6月 -02 12.00.00.000000 上午,,2.38,,92.6,15.5,柴油机;柴油机;柴油机,3.45,,2730,2009/2/12,,,机动,,1080,1080,,1080,12,河船,1,,,B级,12,B、C级航区;J2级急流航段;川江滚装船,鸿发2,2002X0000214,宜昌,★CSAD,宜都市清江船业有限责任公司,2002/9/12,国内航行入级船舶,96.35,宜昌民康船务有限责任公司,川江滚装船,宜昌民康船务有限责任公司,,,,★CSMD,,,,,258;258;258,1200;1200;1200
1586,,10T6001,,5db854085235e74d289af76a,保持船级,121,,11-9月 -09 03.00.00.000000 下午;11-9月 -09 03.00.00.000000 下午,,3.4,BHNT,31.5,9.8,柴油机;柴油机,4.4,1010,404,,,,机动,,,,,,4,海船,1,260;260,6;6,近海,,在沿海航区拖航;拖船;近海航区,澄西15号,2010S0000005,江阴,★CSAD,上海港复兴船务公司三林船厂,2010/1/12,国内航行入级船舶,36.2,中船澄西船舶修造有限公司,普通拖船,中船澄西船舶修造有限公司,385;385,,,★CSMD,,,,,1471;1471,750;750
1587,,19N6179,,5db854095235e74d289af76b,建造入级,19,,19-10月-17 12.00.00.000000 上午;19-10月-17 12.00.00.000000 上午,,1.3,,16.78,8,柴油机;柴油机,2.2,,64,,,,机动,,,,,,6,海船,1,,,沿海航区营运限制,15.18,交通船;双体船;沿海航区营运限制;高速船,海洋81,2019K0000240,南通,★CSAD,江苏新韩通船舶重工有限公司,2019/5/8,国内航行入级船舶,18,江苏盈海风电运维科技有限公司,交通船,南通市海洋水建工程有限公司,,,,,,,,6,261;261,1800;1800
1588,,91Y1305,,5db854095235e74d289af76c,,30179,"Mitsubishi Heavy Industries,Ltd.;Zhangjiagang Greens Shazhou Boiler Co.",27-6月 -90 12.00.00.000000 上午,30;615,13.4,BLAG8,235,42,柴油机,19.5,5117,53892,2008/7/11,1;1,SEA LION,机动,,,,,,12,海船,1,720,6,远海,14,"COMPASS(D,F);双舷侧散货船;装载仪(S.I);远海航区",天盛16,1991L0000817,宁波,★_CSAD,"幸阳船渠株式会社,日本",1991/1/23,国内航行入级船舶,246.84,宁波天盛海运有限公司,散货船,宁波天盛海运有限公司,2500,.78;2.3,8,★_CSMD_,机器处所周期无人值班,,,,10295,80
1589,,07Y6221,,5db8540a5235e74d289af76d,保持船级,576,张家港格林沙洲锅炉有限公司;张家港格林沙洲锅炉有限公司,01-2月 -07 12.00.00.000000 上午;01-2月 -07 12.00.00.000000 上午,12.5;12.5,6,BUJC,41.5,19,柴油机;柴油机,7.8,1810,1920,,1;1,,机动,,,,,,4,海船,1,400;400,8;8,近海,13,B级冰区航行;近海航区;铰接式组合体:对推船,国裕海拖1号,2007J0000361,武汉,★CSAD,扬州国裕船舶制造有限公司,2007/12/15,国内航行入级船舶,45,武汉江裕海运发展有限公司,普通推船,武汉江裕海运发展有限公司,460;460,.78;.78,,★CSMD,,,,,3824;3824,520;520
1590,,17S6265,,5db8540a5235e74d289af76e,建造入级,73,,01-4月 -17 12.00.00.000000 上午;01-4月 -17 12.00.00.000000 上午,,2.14,,26.38,9.6,柴油机(右);柴油机(左),3.2,1067,245,,,,机动,,,,,,3,海船,1,170;170,8;8,近海,14,交通船;近海航区,海豚01,2017U0001174,盐城,★CSAD,南通润邦海洋工程装备有限公司,2017/11/22,国内航行入级船舶,27.6,江苏亨通蓝德海洋工程有限公司,交通船,江苏亨通蓝德海洋工程有限公司,200;200,,,★CSMD,,,,54,600;600,1500;1500
1591,,14T6044,,5db8540b5235e74d289af76f,保持船级,17721,张家港格林沙洲锅炉有限公司,15-1月 -13 12.00.00.000000 上午,23,10.8,BVON7,195,32.26,柴油机,16.5,5718,31645,,1,TC0301,机动,,,,,,7,海船,1,460,6,近海,12.9,B级冰区航行;加强检验程序;散货船;水下检验;燃油舱保护;装载仪(S、I、G);近海航区;重货加强,新海通5,2014J0000102,平潭,★CSAD,泰州中航船舶重工有限公司,2014/2/19,国内航行入级船舶,199.95,民生金融租赁股份有限公司,散货船,福建海通发展股份有限公司,1932,0.78,5,★CSMD,机器处所集中控制;螺旋桨轴状态监控;轮机循环检验;驾驶室遥控,,,50891,5640,110
1592,,,,5db8540b5235e74d289af770,建造入级,,,,,,,111.1,,,,,5164,,,,机动,,,,,,,海船,,,,,,B级冰区航行;加强检验程序;双壳油船（闪点≤60℃）,万鑫油18,3000E0000370,舟山,★CSAD,台州宏大船业有限公司,,国内航行入级船舶,,舟山万鑫海运有限公司,油船（闪点≤60℃）,武汉长荣船舶管理有限责任公司,,,,★CSMD,,,,7450,,
1593,,18T6202,,5db8540c5235e74d289af771,保持船级,1728,江阴市三杰实业有限公司,15-3月 -18 12.00.00.000000 上午;15-3月 -18 12.00.00.000000 上午,51,4.2,,103,16.2,柴油机;柴油机,5.3,,3087,,1,,机动,1108,1108,1108,,1108,12,河船,1,200;200,6;6,A级,9.72,A级航区、J2级航段;不锈钢;化学品液货船（2型，2G）/双壳油船（闪点≤60℃）;最大压力0.025MPa;最大货物密度1700kg/m3;最高货物温度50℃,远洋7608,2018G0000550,涪陵,★CSAD,重庆泽胜投资集团造船有限公司,2018/8/15,国内航行入级船舶,104.8,重庆市泽胜船务（集团）有限公司,化学品液货船,重庆市泽胜船务（集团）有限公司,270;270,0.8,16,★CSMD,机舱自动化-2,,,4771,660;660,1000;1000
1594,,06J6064,,5db8540d5235e74d289af772,保持船级,1035,,06-8月 -05 03.00.00.000000 下午;06-8月 -05 03.00.00.000000 下午,,3.4,,80.03,14,柴油机;柴油机,4.2,,1593,2010/7/29,,,机动,1214,1214,1214,1214,1214,10,河船,,170;170,6;6,A级,,A级航区、J1级航段;敞口集装箱船/双壳散货船,安吉818,2006A0000091,宜宾,★CSAD,重庆华威船舶工业有限公司,2006/4/5,国内航行入级船舶,82.4,四川省宜宾五粮液集团安吉物流航运有限责任公司,集装箱船,四川省宜宾五粮液集团安吉物流航运有限责任公司,200;200,,1,★CSMD,,,,,220;220,1000;1000
1595,,15Y6192,,5db8540d5235e74d289af773,建造入级,1617,江阴市三杰实业有限公司,07-8月 -14 03.00.00.000000 下午;07-8月 -14 03.00.00.000000 下午,,4.2,BFBG6,89.8,20.8,柴油机;柴油机,5.6,1414,2888,,1,,机动,,,,,,5,海船,1,210;210,6;6,近海,9,B级冰区航行;甲板货船;近海航区,魏桥佳达2,2015C0000381,天津,★CSAD,靖江南洋船舶制造有限公司,2015/5/18,国内航行入级船舶,94.9,天津佳达船务有限公司,甲板货船,天津佳达船务有限公司,290;290,0.8,,★CSMD,驾驶室遥控,,,5116,809;809,900;900
1596,,09M6082,,5db8540e5235e74d289af774,重新入级,4545,青岛船用锅炉厂有限公司,01-8月 -08 12.00.00.000000 上午;01-8月 -08 12.00.00.000000 上午,9.7,6.3,BUFY,128,22.6,柴油机;柴油机,8.6,2320,8116,,1,,机动,,,,,,7,海船,1,320;320,6;6,近海,11.3,B级冰区航行;双舷侧散货船;装载仪(S、I);近海航区;重货加强,国裕12号,2009K0000242,武汉,★CSAD,扬州国裕船舶制造有限公司,2009/6/24,国内航行入级船舶,135,武汉江裕海运发展有限公司,散货船,武汉江裕海运发展有限公司,440;440,0.8,2,★CSMD,,,,12404,1324;1324,500;500
1597,,,,5db8540e5235e74d289af775,建造入级,,,08-8月 -10 03.00.00.000000 下午,,,,49.35,,柴油机,,,499,,,,机动,,,,,,,海船,,200,6,近海,,化学品液货船3型;化学品液货船（3型）;最大货物密度( 1350 kg/m3);最大货物密度1800kg/m3;近海航区;近海航区,新神通38,3000L0000146,台州,★CSAD,国营海东造船厂,,国内航行入级船舶,,台州市神通海运有限公司,化学品液货船,台州市液体化工有限公司,270,,,★CSMD,,,,,216,800
1598,,00V1008,,5db8540f5235e74d289af776,保持船级,803,,,,2.2,,57,15,,3.5,,956,,,,非机动,1310,1310,1310,,,4,河船,1,,,A级,,A级航区;最大压力1.76MPa和最低温度0℃;液化气体驳（2PG型）,天恩104,2000V0000286,荆州,★CSAD,湖北黄冈江北船厂,2000/3/15,国内航行入级船舶,60,湖北天恩石化气船运有限公司,液化气体驳,湖北天恩石化气船运有限公司,,,6,,,,,,,
1599,,08L6168,,5db854105235e74d289af777,,92,,,,1.5,,45,10,,2.6,1108,307,,,,非机动,,,,,,4,海船,1,,,沿海,,沿海航区;趸船,洋山趸03,2008C0000479,上海,★CSAD,长江润发（张家港）船舶港机有限公司,2008/12/10,国内航行入级船舶,45,上海同盛投资（集团）有限公司,港用囤船,上海同盛投资（集团）有限公司,,,,,,,,,,
1600,,05U6184,,5db854105235e74d289af778,保持船级,556,张家港格林沙洲锅炉有限公司,25-11月-04 03.00.00.000000 下午;25-11月-04 03.00.00.000000 下午,33,2.5,,72,13.6,柴油机;柴油机,3.2,,994,,,,机动,,706,706,706,706,8,河船,1,,,B级,,B级航区、J1级航段;双壳油船（闪点≤60℃）,新平江1032,2005P0000049,泸州,★CSAD,中国长江航运集团川江船厂,2005/2/3,国内航行入级船舶,75,南京长江油运有限公司,油船（闪点≤60℃）,南京长江油运有限公司,,0.78,8,★CSMD,,,,,360;360,1200;1200
1601,,10F6081,,5db854115235e74d289af779,建造入级,83,,09-8月 -09 03.00.00.000000 下午;20-8月 -09 03.00.00.000000 下午,,0.8,,28.12,7.1,柴油机;柴油机,2,,166,,,,机动,,,,,,3,海船,1,126;126,6;6,特定航线,16,A类客船;单体高速船;遮蔽航区营运限制,红岛3号,2.01E+272,湛江,★CSAD,珠海江龙船舶制造有限公司,2010/5/18,国内航行入级船舶,31.55,湛江红岛运输有限公司,高速客船,湛江红岛运输有限公司,130;130,,,★CSMD,,,,,205;205,2100;2100
1602,,12G6437,,5db854115235e74d289af77a,建造入级,149,,20-6月 -12 12.00.00.000000 上午;20-6月 -12 12.00.00.000000 上午,,4.27,BDNF8,35.86,10.4,柴油机;柴油机,5.05,492,499,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,13.6,B3级冰区航行;拖船;沿海航区,神华拖8,2012G0001071,黄骅,★CSAD,江苏省镇江船厂（集团）有限公司,2012/11/28,国内航行入级船舶,40,神华黄骅港务有限责任公司,普通拖船,神华黄骅港务有限责任公司,385;385,,,★CSMD,,,,,1920;1920,750;750
1603,,14K6174,,5db854125235e74d289af77b,保持船级,16263,张家港格林沙洲锅炉有限公司，张家港，中国,03-1月 -14 03.00.00.000000 下午,23,,,185,32.26,柴油机,15.5,4326,29042,,1,,机动,,,,,,,海船,1,460,6,近海,,B级冰区航行;散货船;水下检验;装载仪(S.I.G);近海航区,华江10,2014X0000437,天津,★CSAD,江苏扬子江船厂有限公司,2014/7/12,国内航行入级船舶,,民生金融租赁股份有限公司,散货船,江苏华江海运有限公司,1932,0.9,,★CSMD,机器处所周期无人值班,,,49282,8280,129
1604,,10N6088,,5db854125235e74d289af77c,保持船级,26259,,,,4.8,,265,61,,21,,87530,,,河山1a,非机动,,,,,,7,河船,3,,,A级,0,A级航区;浮船坞,河山,2010L0000298,泰州,★CSAD,中船澄西船舶修造有限公司,2010/5/21,国内航行入级船舶,285,中船澄西新荣船舶有限公司,浮船坞,中船澄西新荣船舶有限公司,,,0,,,,,0,,
1605,,11M6161,,5db854135235e74d289af77d,保持船级,9453,江阴市三杰实业有限公司,27-8月 -10 12.00.00.000000 上午,16,10.414,BIAN6,163.8,23.8,柴油机,14.62,4200,16881,,1,,机动,,,,,,7,海船,1,350,6,近海,12.5,B级冰区航行;双舷侧散货船;装载仪(S.I.G);近海航区,长顺7,2011J0000581,上海,★CSAD,江苏润扬船业有限公司,2011/7/19,国内航行入级船舶,172.79,上海长顺航运有限公司,散货船,上海长顺航运有限公司,1400,0.8,4,★CSMD,,,,,4440,173
1606,,12M6143,,5db854145235e74d289af77e,,89,,01-6月 -11 12.00.00.000000 上午;01-6月 -11 12.00.00.000000 上午,,2.3,,36.5,8,柴油机;柴油机,3.4,,296,,,三峡消防艇4#,机动,,1105,1105,,1105,5,河船,,195;195,6;6,B级,,2类消防船;B级航区;J2级急流航段,三峡消防4号,2012N0000433,宜昌,★CSAD,中国长江航运集团宜昌船厂,2012/4/28,国内航行入级船舶,39.6,中国长江三峡集团公司,消防船,中国长江三峡集团公司,170;170,,,★CSMD,驾驶室遥控,,,,637;637,1800;1800
1607,,13Y6090,,5db854145235e74d289af77f,保持船级,1487,无锡威力特船用锅炉有限公司,06-11月-12 12.00.00.000000 上午;06-11月-12 12.00.00.000000 上午,,4.585,,75,15.6,柴油机;柴油机,7.3,2714,2656,,1,中兴79.8m敞口集装箱船/ZX1201,机动,,,,,,6,海船,1,,,沿海,,敞口集装箱船;沿海航区,南航787,2013T0000171,湛江,★CSAD,台州市中兴造船厂,2013/2/3,国内航行入级船舶,79.8,湛江南航船务有限公司,集装箱船,湛江南航船务有限公司,,1.1,2,★CSMD,,,,,374;374,600;600
1608,,04V4018,,5db854155235e74d289af780,初次入级,18766,张家港格林沙洲锅炉有限公司,02-5月 -04 12.00.00.000000 上午,,12.5,BRUK,192,32.26,柴油机,18,5524,33511,,1,,机动,,,,,,7,海船,1,500,6,近海,14.5,可以2&4舱空舱;散货船;装载仪(S、I、G);近海航区;重货加强,嘉信山,2004U0000505,广州,★CSA,渤海船舶重工有限责任公司,2004/12/15,国内航行入级船舶,199.99,中海散货运输有限公司,散货船,中远海运散货运输有限公司,2000,0.9,5,★CSMD,机器处所周期无人值班;机械计划保养系统,,,,8510,114
1609,,11R6142,,5db854155235e74d289af781,保持船级,18766,张家港格林沙洲锅炉有限公司,11-12月-10 03.00.00.000000 下午,21,12.5,BRQK,192,32.26,柴油机,18,5524,33511,,1,,机动,,,,,,7,海船,1,500,6,近海,,COMPASS (D、F);散货船;装载仪(S、I、G);近海航区;重货加强,安悦山,2011V0000500,广州,★CSAD,中海工业（江苏）有限公司,2011/6/8,国内航行入级船舶,199.99,中海散货运输有限公司,散货船,中海散货运输有限公司,2000,0.9,5,★CSMD,机器处所集中控制;机械计划保养系统,,,,8510,114
1610,,95G6001,,5db854165235e74d289af782,保持船级,6184,沙洲船用锅炉厂;沙洲船用锅炉厂,11-10月-94 03.00.00.000000 下午;11-10月-94 03.00.00.000000 下午,11;25.5,7.9,BHQD,145,23,右柴油机;左柴油机,11,3132,11042,,1;1,,机动,,,,,,5,海船,1,320;320,4;4,近海,,散货船;近海航区,满江海,1995Y0000014,南京,★CSAD,芜湖造船厂,1995/10/24,国内航行入级船舶,153,南京鹏飞智慧物流股份有限公司,散货船,南京鹏飞智慧物流股份有限公司,350;350,.55;.9,3,★CSMD,,,,,1500;1500,750;750
1611,,14H6356,,5db854175235e74d289af783,恢复船级,29,,25-6月 -13 03.00.00.000000 下午;25-6月 -13 03.00.00.000000 下午,,1.05,,23.36,5.54,柴油机;柴油机,2.73,,98,,,,机动,,,,,,4,河船,,135;135,8;8,A级,21,A级航区;高速公务船,中国海关2006,2014J0000539,广州,★CSAD,常州玻璃钢造船厂有限公司,2014/12/17,国内航行入级船舶,25.99,中华人民共和国广州海关,巡逻船,中华人民共和国广州海关,156;156,,,★_CSMD,,,,10,810;810,2450;2450
