,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
20,,09P6015,,5db8500b5235e74d289af14c,保持船级,110,,01-12月-08 12.00.00.000000 上午;01-12月-08 12.00.00.000000 上午,,2.781,,28.99,9.9,柴油机;柴油机,3.7,,367,,,,机动,1010,,,,,5,河船,1,,,A级,,A级航区;拖船,振华拖19,2009T0000043,上海,★CSAD,长江润发（张家港）船舶港机有限公司,2009/1/22,国内航行入级船舶,32.1,上海振华重工（集团）股份有限公司,普通拖船,上海振华重工（集团）股份有限公司,,,,★CSMD,,,,,552;552,500;500
21,,02T2005,,5db8500b5235e74d289af14d,初次入级,3799,张家港海陆沙洲锅炉有限公司;张家港海陆沙洲锅炉有限公司;张家港海陆沙洲锅炉有限公司,01-9月 -01 12.00.00.000000 上午;01-9月 -01 12.00.00.000000 上午,,6.6,BRSG,112.6,22.6,柴油机;柴油机,9.6,3014,6785,,1,,机动,,,,,,7,海船,4,,,近海,11,B级冰区航行;散货船;近海航区,粤骅,2002H0000085,上海,★ CSAD,江苏扬子江船厂有限公司,2002/4/18,国内航行入级船舶,118.6,神华中海航运有限公司,散货船,神华中海航运有限公司,,.78;.9;.9,4,★CSMD,机器处所集中控制,,,,1103;1103,750;750
22,,13N6149,,5db8500c5235e74d289af14e,建造入级,1302,,11-10月-10 03.00.00.000000 下午;11-10月-10 03.00.00.000000 下午,,4,,81.95,14.8,柴油机;柴油机,4.8,,2325,,,,机动,810,810,810,,810,10,河船,,170;170,8;8,A级,,A级航区、J2级航段;双壳油船（闪点≤60℃）,振兴油98号,2013D0000295,九江,★CSAD,江苏润扬船业有限公司,2013/4/19,国内航行入级船舶,86.8,九江振鑫船务有限公司,油船（闪点≤60℃）,九江振鑫船务有限公司,200;200,,10,★CSMD,驾驶室遥控,,,,480;480,1200;1200
23,,01K6017,,5db8500d5235e74d289af14f,,896,,18-4月 -01 12.00.00.000000 上午;18-4月 -01 12.00.00.000000 上午;18-4月 -01 12.00.00.000000 上午,,2,,82.18,13.8,柴油机;柴油机;柴油机,2.8,,1723,2006/4/27,,,机动,,808,808,,808,10,河船,1,,,B级,12,B、C级航区;J2级急流航段;川江滚装船,民康,2001K0000193,宜昌,★CSAD,宜昌大中船务有限公司,2001/8/16,国内航行入级船舶,86.3,宜昌民康船务有限责任公司,川江滚装船,宜昌民康船务有限责任公司,,,,★CSMD,,,,,220;220;220,1000;1000;1000
24,,15U6280,,5db8500d5235e74d289af150,保持船级,1517,,15-8月 -14 12.00.00.000000 上午;15-8月 -14 12.00.00.000000 上午,,4.35,,90.5,16.2,柴油机;柴油机,5.5,,2709,,,,机动,,,,,,10,河船,,170;170,8;8,A级,,A级航区;J2级航段;双壳油船（闪点≤60℃）,华通油78,2015L0000826,泰州,★CSAD,扬州海川船业有限公司,2015/10/10,国内航行入级船舶,94.8,泰州市华通船务有限公司,油船（闪点≤60℃）,泰州市华通船务有限公司,200;200,,10,★CSMD,驾驶室遥控,,,4438,600;600,1500;1500
25,,10H6106,,5db8500e5235e74d289af151,保持船级,1202,青岛船用锅炉厂有限公司,11-4月 -09 03.00.00.000000 下午;11-4月 -09 03.00.00.000000 下午,,5.2,BKPY5,61.7,16,柴油机;柴油机,6.3,1112,2147,2018/6/11,1,,机动,,,,,,5,海船,1,300;300,8;8,近海,12.5,B级冰区航行;拖船;近海供应船;近海航区,民龙6001,2010J0000342,舟山,★CSAD,浙江成洲船业有限公司,2010/6/7,国内航行入级船舶,67.8,舟山市泓宇海运有限公司,供应船,舟山市泓宇海运有限公司,380;380,0.5,,★CSMD,,,,,2206;2206,600;600
26,,07X0171,9483700,5db8500e5235e74d289af152,初次入级,3023,无锡威力特船用锅炉有限公司,15-8月 -06 12.00.00.000000 上午,17.5,6.8,BHLF,106.6,17.2,柴油机,9,2718,5399,,1,,机动,,,,,,8,海船,1,280,8,近海,11.6,B级冰区航行;散货船,康海裕洋,2007G0000428,南通,★CSAD,扬州龙川船业有限公司,2007/12/6,国内航行入级船舶,115.8,南通康海船务有限公司,散货船,南通康海船务有限公司,390,0.8,3,★CSMD,,,,7890,2500,750
27,,11N6116,,5db8500f5235e74d289af153,保持船级,2203,无锡威力特船用锅炉有限公司,25-5月 -10 03.00.00.000000 下午,,5.999,BLTD9,93.5,16,柴油机,7.8,1816,3934,,1,,机动,,,,,,7,海船,1,320,8,近海,12,B级冰区航行;普通干货船;近海航区;集装箱系固件,华瑞55,2011Q0000403,杭州,★CSAD,浙江振兴船舶修造有限公司,2011/6/10,国内航行入级船舶,99.8,华瑞物流股份有限公司,一般干货船,华瑞物流股份有限公司,440,1.1,2,★CSMD,,,,5534,2060,525
28,,09X6092,,5db8500f5235e74d289af154,保持船级,8861,张家港格林沙洲锅炉有限公司,25-8月 -08 03.00.00.000000 下午,15,9.962,BUCY,149.8,24.4,柴油机,14,4018,15824,,1,,机动,,,,,,9,海船,1,400,8,远海,13.2,B级冰区航行;散货船;装载仪(S、I、G);远海航区;重货加强,长恒海,2009F0000284,武汉,★CSAD,浙江长宏造船有限公司,2009/7/20,国内航行入级船舶,159.9,武汉长航新凤凰物流有限责任公司,散货船,武汉长航新凤凰物流有限责任公司,460,0.78,5,★CSMD,,,,,4400,520
29,,07G6044,,5db850105235e74d289af155,,2099,,01-4月 -06 12.00.00.000000 上午;01-5月 -06 12.00.00.000000 上午,,4.8,BPEH,93.8,16.4,柴油机;柴油机,7.7,2924,3748,,,,机动,,,,,,5,海船,1,,,沿海,11.5,敞口集装箱船;沿海航区,集海之明,2007X0000052,上海,★CSAD,南通惠港造船有限公司,2007/3/8,国内航行入级船舶,99.8,上海集海航运有限公司,集装箱船,上海集海航运有限公司,,,3,★CSMD,,,,,810;810,750;750
